start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,connections,start station latitude
318,E 43 St & Vanderbilt Ave,407532,-739779,477,W 41 St & 8 Ave,407564,-739900,156,407532
519,Pershing Square N,407518,-739777,492,W 33 St & 7 Ave,407501,-739909,124,407518
311,Norfolk St & Broome St,407172,-739880,502,Henry St & Grand St,407142,-739813,122,407172
432,E 7 St & Avenue A,407262,-739837,293,Lafayette St & E 8 St,407302,-739907,121,407262
116,W 17 St & 8 Ave,407417,-740014,521,8 Ave & W 31 St,407504,-739948,118,407417
502,Henry St & Grand St,407142,-739813,311,Norfolk St & Broome St,407172,-739880,118,407142
2006,Central Park S & 6 Ave,407659,-739763,2006,Central Park S & 6 Ave,407659,-739763,115,407659
293,Lafayette St & E 8 St,407302,-739907,317,E 6 St & Avenue B,407245,-739818,115,407302
445,E 10 St & Avenue A,407274,-739814,293,Lafayette St & E 8 St,407302,-739907,108,407274
307,Canal St & Rutgers St,407142,-739899,502,Henry St & Grand St,407142,-739813,103,407142
502,Henry St & Grand St,407142,-739813,307,Canal St & Rutgers St,407142,-739899,101,407142
490,8 Ave & W 33 St,407515,-739939,448,W 37 St & 10 Ave,407566,-739979,100,407515
435,W 21 St & 6 Ave,407417,-739941,509,9 Ave & W 22 St,407454,-740019,99,407417
293,Lafayette St & E 8 St,407302,-739907,432,E 7 St & Avenue A,407262,-739837,97,407302
293,Lafayette St & E 8 St,407302,-739907,445,E 10 St & Avenue A,407274,-739814,96,407302
317,E 6 St & Avenue B,407245,-739818,293,Lafayette St & E 8 St,407302,-739907,93,407245
318,E 43 St & Vanderbilt Ave,407532,-739779,524,W 43 St & 6 Ave,407552,-739831,91,407532
329,Greenwich St & N Moore St,407204,-740102,147,Greenwich St & Warren St,407154,-740112,90,407204
472,E 32 St & Park Ave,407457,-739819,527,E 33 St & 1 Ave,407431,-739743,88,407457
435,W 21 St & 6 Ave,407417,-739941,462,W 22 St & 10 Ave,407469,-740045,87,407417
529,W 42 St & 8 Ave,407575,-739909,478,11 Ave & W 41 St,407603,-739988,86,407575
477,W 41 St & 8 Ave,407564,-739900,318,E 43 St & Vanderbilt Ave,407532,-739779,86,407564
448,W 37 St & 10 Ave,407566,-739979,490,8 Ave & W 33 St,407515,-739939,85,407566
264,Maiden Ln & Pearl St,407070,-740073,417,Barclay St & Church St,407129,-740102,83,407070
300,Shevchenko Pl & E 6 St,407281,-739902,317,E 6 St & Avenue B,407245,-739818,83,407281
527,E 33 St & 1 Ave,407431,-739743,492,W 33 St & 7 Ave,407501,-739909,82,407431
